,class,precision,recall,F1,accuracy,MAE,MPE,mean_F1_ev0
0,classifier,0.4479166666666667,0.5695364238410596,0.5014577259475219,0.3346303501945525,-4.1,-0.027152317880794703,0.5636040466092055
0,classifier10,0.7428571428571429,0.17218543046357615,0.27956989247311825,0.1625,11.6,0.07682119205298013,0.38141788766788765
0,classifier11,0.711340206185567,0.45695364238410596,0.5564516129032258,0.3854748603351955,5.4,0.03576158940397351,0.5138344538435965
0,classifier12,0.7012987012987013,0.3576158940397351,0.4736842105263157,0.3103448275862069,7.4,0.04900662251655629,0.48966232069535537
0,classifier13,0.0,0.0,,0.0,14.5,0.09602649006622517,
0,classifier14,0.625,0.13245033112582782,0.21857923497267762,0.12269938650306748,11.9,0.07880794701986756,0.22844444444444445
0,classifier15,0.75,0.33774834437086093,0.4657534246575343,0.30357142857142855,8.3,0.05496688741721854,0.4467250267653493
0,classifier16,0.3,0.019867549668874173,0.03726708074534162,0.0189873417721519,14.1,0.09337748344370861,0.058924731182795696
0,classifier17,0.71875,0.152317880794702,0.25136612021857924,0.14375,11.9,0.07880794701986756,0.25392753254822215
0,classifier18,0.6891891891891891,0.33774834437086093,0.4533333333333333,0.29310344827586204,7.7,0.050993377483443715,0.39706352912898685
0,classifier19,0.85,0.2251655629139073,0.356020942408377,0.21656050955414013,11.1,0.07350993377483443,0.3889422435640923
0,classifier2,0.7297297297297297,0.5364238410596026,0.6183206106870228,0.44751381215469616,4.0,0.026490066225165566,0.5777976993766468
0,classifier20,0.7222222222222222,0.17218543046357615,0.27807486631016043,0.16149068322981366,11.5,0.076158940397351,0.22520647825525875
0,classifier200,0.9,0.059602649006622516,0.11180124223602485,0.05921052631578947,14.1,0.09337748344370861,0.3024897807506503
0,classifier201,0.22821576763485477,0.36423841059602646,0.28061224489795916,0.1632047477744807,-9.0,-0.05960264900662252,0.5009963244673656
0,classifier202,0.6716417910447762,0.5960264900662252,0.6315789473684211,0.46153846153846156,1.7,0.011258278145695366,0.5579623391338031
0,classifier21,0.7868852459016393,0.31788079470198677,0.45283018867924524,0.2926829268292683,9.0,0.05960264900662252,0.4109700617835787
0,classifier22,0.7530864197530864,0.40397350993377484,0.5258620689655172,0.3567251461988304,7.0,0.046357615894039736,0.447954822954823
0,classifier23,,0.0,,0.0,15.1,0.1,
0,classifier24,0.14285714285714285,0.006622516556291391,0.012658227848101266,0.006369426751592357,14.4,0.09536423841059602,0.2
0,classifier25,0.0,0.0,,0.0,15.0,0.09933774834437085,
0,classifier3,0.6541353383458647,0.5761589403973509,0.6126760563380281,0.4416243654822335,1.8,0.011920529801324502,0.5316697410671586
0,classifier4,0.821917808219178,0.3973509933774834,0.5357142857142857,0.36585365853658536,7.8,0.051655629139072845,0.5194422640851212
0,classifier5,0.7333333333333333,0.2913907284768212,0.41706161137440756,0.2634730538922156,9.1,0.06026490066225165,0.40637748137748136
0,classifier6,0.6808510638297872,0.423841059602649,0.5224489795918368,0.35359116022099446,5.7,0.03774834437086093,0.46787836999039656
0,classifier7,0.7307692307692307,0.12582781456953643,0.21468926553672318,0.12025316455696203,12.5,0.08278145695364239,0.4215796215796215
0,classifier8,0.7948717948717948,0.4105960264900662,0.5414847161572052,0.3712574850299401,7.3,0.048344370860927154,0.5118782284815926
0,classifier9,0.7894736842105263,0.09933774834437085,0.17647058823529413,0.0967741935483871,13.2,0.08741721854304636,0.29903302987861813
0,classifierBayes1,0.18434343434343434,0.48344370860927155,0.26691042047531993,0.1540084388185654,-24.5,-0.16225165562913907,0.5280194126813191
0,classifierBayes2,0.24107142857142858,0.5364238410596026,0.3326488706365503,0.19950738916256158,-18.5,-0.12251655629139073,0.5935749687235051
0,classifierBayes3,0.7096774193548387,0.5827814569536424,0.64,0.47058823529411764,2.7,0.017880794701986755,0.5200746489880615
0,classifierBayes4,0.21739130434782608,0.7947019867549668,0.3413940256045519,0.2058319039451115,-40.1,-0.26556291390728476,0.4893827498406418
0,classifierBayes5,0.3123543123543124,0.8874172185430463,0.46206896551724147,0.3004484304932735,-27.8,-0.18410596026490067,0.5573229348486457
